Element, pos
544, 1087193812
545, 1116028518
546, 1046888834
547, 1087193907
548, 1121205453
549, 1020084534
550, 1099055923
551, 1127431782
552, 1020084572
553, 1096565760
554, 1140866253
555, 1046888834
556, 1100038963
557, 1140866662
558, 1020084572
559, 1100039168
560, 1140866662
561, 1046888653
562, 1087194212
563, 1145388237
564, 1020084572
565, 1087194112
566, 1147420262
567, 1073758446
568, 1099055923
569, 1127431782
570, 1046888653
571, 1087193733
572, 1125400576
573, 1073758446
574, 1087193907
575, 1116028518
576, 1046888834
577, 1089356595
578, 1127432192
579, 1046888849
580, 1100039168
581, 1140866662
582, 1073758446
583, 1092436787
584, 1140867072
585, 1046888849
586, 1092436992
587, 1140867072
588, 1073758413
589, 1087194159
590, 1147420262
591, 1046888849
592, 1087194112
593, 1143947264
594, 1073758446
595, 1087193907
596, 1125400576
597, 1075921101
598, 1092436787
599, 1140867072
600, 1073758446
601, 1087193907
602, 1127432225
603, 1079263437
604, 1092436992
605, 1140867072
606, 1075921101
607, 1092436787
608, 1140867072
609, 1079263437
610, 1087194112
611, 1143947264
612, 1020084838
613, 1113998409
614, 1147550842
615, 1020084795
616, 1113998438
617, 1147550842
618, 1020084838
619, 1111180421
620, 1147550925
621, 1020084838
622, 1111180361
623, 1147550925
624, 1036730982
625, 1111180390
626, 1147550925
627, 1020084838
628, 1113998469
629, 1147551179
630, 979780403
631, 1127433304
632, 1147550243
633, 979780376
634, 1127433318
635, 1147550243
636, 979780403
637, 1125663865
638, 1147550310
639, 1020085043
640, 1127433146
641, 1140866073
642, 1020084932
643, 1125663744
644, 1147550310
645, 1014645350
646, 1113998438
647, 1145650381
648, 979780403
649, 1125663832
650, 1147550310
651, 1020084838
652, 1127433289
653, 1146632806
654, 1020084838
655, 1120158793
656, 1140866253
657, 979780403
658, 1120158808
659, 1140866253
660, 1008288563
661, 1113998336
662, 1147550842
663, 1020084878
664, 1113998541
665, 1149582541
666, 979780376
667, 1116619878
668, 1154301133
669, 1014645350
670, 1125663846
671, 1147550310
672, 991314739
673, 1116619981
674, 1154301133
675, 979780376
676, 1127433318
677, 1148795494
678, 991314739
679, 1127433421
680, 1154300694
681, 1020085043
682, 1116620048
683, 1154301133
684, 1046889267
685, 1127433211
686, 1136278733
687, 1020084932
688, 1126843392
689, 1140866662
690, 1046889267
691, 1120158715
692, 1140866253
693, 1036730982
694, 1120158822
695, 1140866253
696, 1020084838
697, 1113998409
698, 1147551179
699, 1046889069
700, 1120158822
701, 1140866253
702, 1046889069
703, 1126843494
704, 1140866662
705, 1020084932
706, 1113998336
707, 1149582541
708, 1046889069
709, 1113998438
710, 1147551179
711, 1020084838
712, 1116619909
713, 1154301133
714, 1046889069
715, 1116619878
716, 1154301133
717, 1046889161
718, 1114457293
719, 1147551334
720, 1020085043
721, 1127433488
722, 1156791910
723, 1046889161
724, 1116619981
725, 1154301133
726, 1020085043
727, 1120486672
728, 1154301542
729, 1046889267
730, 1126843387
731, 1140866662
732, 1047610163
733, 1126843392
734, 1140866662
735, 1046889069
736, 1127433318
737, 1147551675
738, 1047610163
739, 1126843392
740, 1140866662
741, 1069237043
742, 1114457190
743, 1147551334
744, 1046889161
745, 1127433421
746, 1154301708
747, 1069237043
748, 1114457190
749, 1147551334
750, 1057768243
751, 1120486605
752, 1154301542
753, 1046889267
754, 1127433459
755, 1154301708
756, 975389491
757, 1127433318
758, 1146632806
759, 979780464
760, 1127433318
761, 1147550243
762, 979780464
763, 1127433318
764, 1148795494
765, 1020085043
766, 1140868026
767, 1140669645
768, 1019560960
769, 1127433216
770, 1140866073
771, 1020085043
772, 1140868026
773, 1140866245
774, 979780403
775, 1140868184
776, 1147550355
777, 979780464
778, 1127433318
779, 1146632806
780, 1008288563
781, 1140868096
782, 1147550355
783, 1008288563
784, 1140868096
785, 1140866245
786, 982729728
787, 1131431014
788, 1147550310
789, 991314739
790, 1127433421
791, 1148795494
792, 979780464
793, 1140868198
794, 1147550355
795, 991314739
796, 1140868301
797, 1147550355
798, 1004946432
799, 1127433421
800, 1154300694
801, 991314739
802, 1140868301
803, 1154300902
804, 1020085248
805, 1127433465
806, 1158692045
807, 991314739
808, 1140868301
809, 1157184717
810, 1046889281
811, 1140868096
812, 1140866272
813, 1020085248
814, 1128350717
815, 1140866662
816, 1020085248
817, 1127433213
818, 1140538982
819, 1046889267
820, 1140868091
821, 1140669645
822, 1020085043
823, 1140868026
824, 1140866272
825, 1046889281
826, 1140868096
827, 1142111846
828, 1020085248
829, 1140868345
830, 1154760294
831, 1020085043
832, 1140868368
833, 1154760294
834, 1046889267
835, 1127433459
836, 1158692045
837, 1046889281
838, 1127433216
839, 1140538982
840, 1047610163
841, 1140868096
842, 1142111846
843, 1046889281
844, 1127433216
845, 1140866673
846, 1046889472
847, 1127433235
848, 1140866673
849, 1064125440
850, 1140868198
851, 1147551597
852, 1047610163
853, 1127433216
854, 1147551675
855, 1064125440
856, 1127433318
857, 1147551675
858, 1048986624
859, 1127433421
860, 1147551675
861, 1057768243
862, 1140868301
863, 1154301574
864, 1048986624
865, 1127433421
866, 1154301708
867, 1046889267
868, 1140868339
869, 1154760294
870, 1048986624
871, 1127433421
872, 1156791910
873, 1019560960
874, 1140868096
875, 1140669645
876, 1020085250
877, 1140868096
878, 1147550355
879, 1019560960
880, 1140999168
881, 1140866253
882, 1020085336
883, 1140868198
884, 1147550355
885, 1020085250
886, 1140868096
887, 1154300902
888, 982729728
889, 1146635366
890, 1147550925
891, 1020085294
892, 1140868301
893, 1154300902
894, 1020085336
895, 1140868198
896, 1154300902
897, 1020085294
898, 1140868301
899, 1157184717
900, 1020085250
901, 1140868096
902, 1140669645
903, 1021330432
904, 1140868096
905, 1140866272
906, 1046889472
907, 1145127955
908, 1147551334
909, 1021330432
910, 1145127936
911, 1147551334
912, 1020085250
913, 1140999168
914, 1140866253
915, 1046889537
916, 1146635366
917, 1147550925
918, 1020085336
919, 1145128038
920, 1147551334
921, 1020085294
922, 1143882957
923, 1154301133
924, 1046889537
925, 1141392486
926, 1154301542
927, 1020085294
928, 1141392589
929, 1154301542
930, 1046889472
931, 1140868308
932, 1157184717
933, 1020085294
934, 1140868301
935, 1154760294
936, 1046889537
937, 1140868198
938, 1142111846
939, 1064125440
940, 1141392486
941, 1154301542
942, 1046889537
943, 1140868198
944, 1147551597
945, 1048986624
946, 1141392589
947, 1154301542
948, 1064125440
949, 1141392486
950, 1154301542
951, 1048986624
952, 1140868301
953, 1154760294
954, 1020085248
955, 1142441106
956, 1147551334
957, 1020085280
958, 1142965453
959, 1154301133
960, 1046889496
961, 1146045542
962, 1154301542
963, 1020085280
964, 1146045645
965, 1154301542
966, 1046889472
967, 1140868402
968, 1157381325
969, 1020085280
970, 1140868301
971, 1160920678
972, 1046889496
973, 1140868198
974, 1145978470
975, 1055933440
976, 1146045542
977, 1154301542
978, 1046889496
979, 1140868198
980, 1147551472
981, 1072579584
982, 1146045645
983, 1154301542
984, 1055933440
985, 1146045542
986, 1154301542
987, 1072579584
988, 1140868301
989, 1160920678
990, 1073759256
991, 1144341709
992, 1160986214
993, 1046889557
994, 1144341709
995, 1160986214
996, 1067992064
997, 1140868403
998, 1164459622
999, 1073759256
1000, 1140868301
1001, 1152204800
1002, 1076708352
1003, 1142441165
1004, 1154301952
1005, 1076708352
1006, 1140868301
1007, 1157775360
1008, 1046889529
1009, 1142768742
1010, 1154301133
1011, 1020085340
1012, 1142768742
1013, 1154301133
1014, 1035092992
1015, 1140868301
1016, 1156005069
1017, 1046889529
1018, 1140868198
1019, 1141980774
1020, 1061569536
1021, 1144603750
1022, 1147551334
1023, 1061569536
1024, 1140868198
1025, 1152859750
1026, 1046889531
1027, 1142965350
1028, 1154301133
1029, 1020085340
